year,month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3,moisture4,irrgation
2013,3,6,22,16,11,0.33,0.4,0.36,0.23,0.02,FALSE
2013,3,6,22,17,11,0.32,0.39,0.35,0.23,0.02,FALSE
2013,3,6,22,18,11,0.31,0.39,0.34,0.22,0.02,FALSE
2013,3,6,22,19,11,0.3,0.38,0.33,0.21,0.02,FALSE
2013,3,6,22,20,11,0.29,0.38,0.33,0.21,0.02,FALSE
2013,3,6,22,21,11,0.28,0.38,0.33,0.21,0.02,FALSE
2013,3,6,22,22,12,0.28,0.37,0.33,0.2,0.02,FALSE
2013,3,6,22,23,12,0.27,0.37,0.33,0.19,0.02,FALSE
2013,3,6,22,24,12,0.3,0.38,0.35,0.2,0.03,FALSE
2013,3,6,22,25,12,0.26,0.36,0.34,0.17,0.02,FALSE
2013,3,6,22,26,12,0.26,0.36,0.34,0.17,0.02,FALSE
2013,3,6,22,27,12,0.25,0.36,0.34,0.17,0.02,FALSE
2013,3,6,22,28,12,0.25,0.36,0.34,0.17,0.02,FALSE
2013,3,6,22,29,12,0.25,0.36,0.34,0.17,0.02,FALSE
2013,3,6,22,30,12,0.24,0.36,0.34,0.16,0.02,FALSE
2013,3,6,22,31,12,0.24,0.36,0.33,0.16,0.02,FALSE
2013,3,6,22,32,12,0.24,0.36,0.29,0.16,0.02,FALSE
2013,3,6,22,33,12,0.23,0.36,0.3,0.15,0.02,FALSE
2013,3,6,22,34,12,0.23,0.36,0.29,0.18,0.03,FALSE
2013,3,6,22,35,12,0.23,0.36,0.29,0.15,0.02,FALSE
2013,3,6,22,36,12,0.23,0.36,0.29,0.15,0.02,FALSE
2013,3,6,22,37,12,0.23,0.36,0.29,0.15,0.02,FALSE
2013,3,6,22,38,12,0.23,0.36,0.29,0.15,0.02,FALSE
2013,3,6,22,39,12,0.23,0.36,0.29,0.15,0.02,FALSE
2013,3,6,22,40,12,0.23,0.36,0.29,0.15,0.02,FALSE
2013,3,6,22,41,12,0.23,0.36,0.28,0.15,0.02,FALSE
2013,3,6,22,42,13,0.22,0.36,0.28,0.15,0.02,FALSE
2013,3,6,22,43,13,0.22,0.36,0.28,0.15,0.02,FALSE
2013,3,6,22,44,13,0.22,0.36,0.28,0.15,0.02,FALSE
2013,3,6,22,45,13,0.22,0.36,0.28,0.15,0.02,FALSE
2013,3,6,22,46,13,0.22,0.36,0.28,0.15,0.02,FALSE
2013,3,6,22,47,13,0.22,0.36,0.28,0.15,0.02,FALSE
2013,3,6,22,48,13,0.22,0.36,0.28,0.15,0.02,FALSE
2013,3,6,22,49,13,0.22,0.36,0.28,0.15,0.02,FALSE
2013,3,6,22,50,13,0.22,0.36,0.27,0.16,0.02,FALSE
2013,3,6,22,51,13,0.22,0.36,0.27,0.16,0.02,FALSE
2013,3,6,22,52,13,0.22,0.36,0.27,0.16,0.02,FALSE
2013,3,6,22,53,13,0.22,0.36,0.27,0.16,0.02,FALSE
2013,3,6,22,54,13,0.22,0.33,0.27,0.15,0.02,FALSE
2013,3,6,22,55,13,0.24,0.37,0.28,0.16,0.03,FALSE
2013,3,6,22,56,13,0.23,0.34,0.27,0.11,0.02,FALSE
2013,3,6,22,57,13,0.23,0.36,0.26,0.13,0.02,FALSE
2013,3,6,22,58,13,0.23,0.35,0.27,0.14,0.02,FALSE
2013,3,6,22,59,13,0.23,0.35,0.27,0.14,0.02,FALSE
2013,3,6,23,0,13,0.23,0.35,0.26,0.13,0.02,FALSE
2013,3,6,23,1,13,0.23,0.35,0.26,0.13,0.02,FALSE
2013,3,6,23,2,14,0.23,0.34,0.26,0.13,0.02,FALSE
2013,3,6,23,3,14,0.23,0.34,0.26,0.13,0.02,FALSE
2013,3,6,23,4,14,0.23,0.34,0.26,0.13,0.02,FALSE
2013,3,6,23,5,14,0.23,0.37,0.25,0.15,0.03,FALSE
2013,3,6,23,6,14,0.23,0.34,0.23,0.13,0.02,FALSE
2013,3,6,23,7,14,0.23,0.34,0.25,0.12,0.02,FALSE
2013,3,6,23,8,14,0.23,0.3,0.24,0.12,0.02,FALSE
2013,3,6,23,9,14,0.22,0.31,0.25,0.12,0.02,FALSE
2013,3,6,23,10,14,0.23,0.29,0.25,0.12,0.02,FALSE
2013,3,6,23,11,14,0.23,0.29,0.25,0.12,0.02,FALSE
2013,3,6,23,12,14,0.23,0.29,0.25,0.13,0.02,FALSE
2013,3,6,23,13,14,0.23,0.29,0.25,0.12,0.02,FALSE
2013,3,6,23,14,14,0.24,0.29,0.27,0.12,0.02,FALSE
2013,3,6,23,15,14,0.23,0.29,0.27,0.12,0.03,FALSE
2013,3,6,23,16,14,0.23,0.26,0.27,0.13,0.02,FALSE
2013,3,6,23,17,14,0.23,0.26,0.26,0.11,0.02,FALSE
2013,3,6,23,18,14,0.23,0.26,0.27,0.12,0.02,FALSE
2013,3,6,23,19,14,0.23,0.27,0.27,0.12,0.02,FALSE
2013,3,6,23,20,14,0.23,0.27,0.27,0.12,0.02,FALSE
2013,3,6,23,21,15,0.23,0.26,0.26,0.12,0.02,FALSE
2013,3,6,23,22,15,0.23,0.26,0.26,0.12,0.02,FALSE
2013,3,6,23,23,15,0.23,0.26,0.26,0.12,0.02,FALSE
2013,3,6,23,24,15,0.23,0.26,0.26,0.12,0.02,FALSE
2013,3,6,23,25,15,0.23,0.26,0.26,0.12,0.02,FALSE
2013,3,6,23,26,15,0.23,0.27,0.28,0.12,0.02,FALSE
2013,3,6,23,27,15,0.23,0.27,0.28,0.12,0.02,FALSE
2013,3,6,23,28,15,0.23,0.27,0.27,0.12,0.02,FALSE
2013,3,6,23,29,15,0.23,0.27,0.27,0.12,0.02,FALSE
2013,3,6,23,30,15,0.23,0.27,0.27,0.12,0.02,FALSE
2013,3,6,23,31,15,0.23,0.27,0.27,0.12,0.02,FALSE
2013,3,6,23,32,15,0.23,0.26,0.27,0.12,0.02,FALSE
2013,3,6,23,33,15,0.23,0.27,0.27,0.12,0.02,FALSE
2013,3,6,23,34,15,0.23,0.27,0.27,0.12,0.02,FALSE
